date,river_max_c,air_max_c,offset_c,month,year
2013-03-25,10.9320001602173,14.6,-3.6679998397827003,3,2013
2013-03-26,11.2239999771118,13.4,-2.1760000228882,3,2013
2013-03-27,21.8190002441406,15.1,6.7190002441406005,3,2013
2013-03-28,21.1989994049072,11.3,9.898999404907201,3,2013
2013-03-29,23.1359996795654,14.1,9.035999679565402,3,2013
2013-03-30,21.2940006256104,15.4,5.894000625610401,3,2013
2013-03-31,21.0319995880127,12.1,8.9319995880127,3,2013
2013-04-01,20.3409996032715,11.2,9.1409996032715,4,2013
2013-04-02,22.6809997558594,14.5,8.1809997558594,4,2013
2013-04-03,21.5809993743896,15.6,5.980999374389599,4,2013
2013-04-04,21.4130001068115,15.2,6.213000106811499,4,2013
2013-04-05,22.4169998168945,15.5,6.916999816894499,4,2013
2013-04-06,21.1749992370605,11.1,10.074999237060501,4,2013
2013-04-07,20.9360008239746,14.5,6.436000823974599,4,2013
2013-04-08,21.5330009460449,13.9,7.6330009460449,4,2013
2013-04-09,18.056999206543,15.2,2.8569992065430014,4,2013
2013-04-10,18.0100002288818,17.9,0.11000022888180183,4,2013
2013-04-11,21.6280002593994,19.8,1.8280002593993991,4,2013
2013-04-12,18.1760005950928,18.3,-0.1239994049072024,4,2013
2013-04-13,17.7719993591309,19.7,-1.9280006408691008,4,2013
2013-04-14,18.2469997406006,21.7,-3.453000259399399,4,2013
2013-04-15,18.9130001068115,21.9,-2.9869998931885,4,2013
2013-04-16,19.673999786377,24.4,-4.726000213622999,4,2013
2013-04-17,19.746000289917,24.6,-4.853999710083002,4,2013
2013-04-18,19.5550003051758,24.4,-4.8449996948242,4,2013
2013-04-19,19.4599990844727,16.6,2.8599990844726975,4,2013
2013-04-20,16.7959995269775,12.2,4.595999526977501,4,2013
2013-04-21,16.3680000305176,15.1,1.2680000305175998,4,2013
2013-04-22,19.4599990844727,17.6,1.8599990844726975,4,2013
2013-04-23,17.9860000610352,19.6,-1.6139999389648025,4,2013
2013-04-24,19.9360008239746,21.9,-1.9639991760253999,4,2013
2013-04-25,19.7220001220703,26.5,-6.777999877929702,4,2013
2013-04-26,20.1030006408691,18.3,1.8030006408691008,4,2013
2013-04-27,18.6520004272461,14.3,4.3520004272461,4,2013
2013-04-28,16.0580005645752,12.5,3.558000564575199,4,2013
2013-04-29,21.2700004577637,15.4,5.8700004577637,4,2013
2013-04-30,24.363000869751,16.8,7.563000869751001,4,2013
2013-05-01,26.2800006866455,19.8,6.4800006866455,5,2013
2013-05-02,26.2310009002686,21.3,4.9310009002686,5,2013
2013-05-03,25.0400009155273,18.6,6.4400009155273,5,2013
2013-05-04,24.556999206543,19.0,5.556999206543001,5,2013
2013-05-05,24.4120006561279,19.3,5.1120006561279006,5,2013
2013-05-06,25.42799949646,22.2,3.2279994964600007,5,2013
2013-05-07,25.8899993896484,22.6,3.289999389648397,5,2013
2013-05-08,26.451000213623,24.0,2.4510002136230007,5,2013
2013-05-09,26.6709995269775,22.4,4.270999526977501,5,2013
2013-05-10,26.5979995727539,18.3,8.297999572753898,5,2013
2013-05-11,25.5979995727539,18.8,6.797999572753898,5,2013
2013-05-12,25.3799991607666,18.5,6.879999160766602,5,2013
2013-05-13,25.5499992370605,21.0,4.549999237060501,5,2013
2013-05-14,32.6389999389648,23.5,9.138999938964801,5,2013
2013-05-15,21.8430004119873,17.5,4.343000411987301,5,2013
2013-05-16,20.5550003051758,15.0,5.555000305175799,5,2013
2013-05-17,19.9360008239746,16.6,3.3360008239745973,5,2013
2013-05-18,19.6030006408691,14.6,5.003000640869102,5,2013
2013-05-19,19.6030006408691,18.0,1.6030006408691015,5,2013
2013-05-20,19.8649997711182,18.8,1.0649997711181989,5,2013
2013-05-21,22.8239994049072,17.3,5.523999404907201,5,2013
2013-05-22,23.5930004119873,17.6,5.9930004119873,5,2013
2013-05-23,23.6889991760254,18.3,5.388999176025401,5,2013
2013-05-24,23.4969997406006,14.6,8.8969997406006,5,2013
2013-05-25,22.8719997406006,14.4,8.4719997406006,5,2013
2013-05-26,23.2560005187988,17.0,6.2560005187988,5,2013
2013-05-27,26.0359992980957,20.4,5.635999298095701,5,2013
2013-05-28,22.3449993133545,16.4,5.944999313354501,5,2013
2013-05-29,20.746000289917,16.9,3.8460002899170007,5,2013
2013-05-30,18.3430004119873,18.2,0.14300041198730185,5,2013
2013-05-31,15.5089998245239,17.7,-2.1910001754761,5,2013
2013-06-01,15.6049995422363,19.1,-3.4950004577637017,6,2013
2013-06-02,16.1770000457764,19.8,-3.6229999542236015,6,2013
2013-06-03,33.9140014648438,21.3,12.614001464843799,6,2013
2013-06-04,24.3880004882812,22.6,1.7880004882811988,6,2013
2013-06-05,24.8950004577637,23.8,1.0950004577636996,6,2013
